ISSN	期刊名	期刊名简写	IF	深大是否订阅该期刊	中科院分区	大类学科	小类学科	更新规律	网址
1759-4790	Nature Reviews Rheumatology	NAT REV RHEUMATOL	15.661	是	1区	医学	风湿病学		https://www.nature.com/nrrheum/
1759-4758	Nature Reviews Neurology	NAT REV NEUROL	19.819	否	1区	医学	临床神经病学		https://www.nature.com/nrneurol/
1759-5002	Nature Reviews Cardiology	NAT REV CARDIOL	15.162	否	1区	医学	心脏和心血管系统		https://www.nature.com/nrcardio/
1759-5061	Nature Reviews Nephrology	NAT REV NEPHROL	14.101	否	1区	医学	泌尿学与肾脏学		https://www.nature.com/nrneph/
1471-003X	NATURE REVIEWS NEUROSCIENCE	NAT REV NEUROSCI	32.635	是	1区	医学	神经科学		https://www.nature.com/nrn/
1759-5029	Nature Reviews Endocrinology	NAT REV ENDOCRINOL	20.265	否	1区	医学	内分泌学与代谢		https://www.nature.com/nrendo/
2056-676X	Nature Reviews Disease Primers	NAT REV DIS PRIMERS	16.071	否	1区	医学	医学：内科		https://www.nature.com/nrdp/
2055-026X	Nature Plants	NAT PLANTS	11.471	否	1区	生物	植物科学		http://www.nature.com/nplants/
1754-2189	Nature Protocols	NAT PROTOC	12.423	是	1区	生物	生化研究方法		http://www.nature.com/nprot/index.html
1465-7392	NATURE CELL BIOLOGY	NAT CELL BIOL	19.064	是	1区	生物	细胞生物学		http://www.nature.com/ncb/index.html
2058-5276	Nature Microbiology	NAT MICROBIOL	14.174	否	1区	生物	微生物学		https://www.nature.com/nmicrobiol/
1552-4450	Nature Chemical Biology	NAT CHEM BIOL	13.843	是	1区	生物	生化与分子生物学		http://www.nature.com/nchembio/index.html
1001-0602	CELL RESEARCH	CELL RES	15.393	是	1区	生物	细胞生物学		http://www.nature.com/cr/index.html
1545-9993	NATURE STRUCTURAL & MOLECULAR BIOLOGY	NAT STRUCT MOL BIOL	13.333	是	1区	生物	生化与分子生物学		http://www.nature.com/nsmb/index.html
2041-1723	Nature Communications	NAT COMMUN	12.353	是	2区	综合性期刊	综合性期刊		http://www.nature.com/ncomms/index.html
1098-3600	GENETICS IN MEDICINE	GENET MED	9.937	否	1区	医学	遗传学		http://www.nature.com/gim/index.html
1350-9047	Cell Death & Differentiation	CELL DEATH DIFFER	8	是	1区	生物	生化与分子生物学		http://www.nature.com/cdd/index.html
1759-4812	Nature Reviews Urology	NAT REV UROL	8.089	是	1区	医学	泌尿学与肾脏学		https://www.nature.com/nrurol/
0887-6924	LEUKEMIA	LEUKEMIA	10.023	否	1区	医学	血液学		http://www.nature.com/leu/index.html
2095-4700	Bone Research	BONE RES	12.354	是	1区	医学	细胞与组织工程		http://www.nature.com/boneres/
1359-4184	MOLECULAR PSYCHIATRY	MOL PSYCHIATR	11.64	是	1区	医学	生化与分子生物学		http://www.nature.com/mp/index.html
2044-5385	Blood Cancer Journal	BLOOD CANCER J	8.125	是	1区	医学	肿瘤学		http://www.nature.com/bcj/index.html
0002-9270	AMERICAN JOURNAL OF GASTROENTEROLOGY	AM J GASTROENTEROL	10.231	否	1区	医学	胃肠肝病学		http://www.nature.com/ajg/index.html
1758-678X	Nature Climate Change	NAT CLIM CHANGE	19.181	否	1区	生物	环境科学		http://www.nature.com/nclimate/index.html
1751-7362	ISME Journal	ISME J	9.52	否	1区	生物	生态学		http://www.nature.com/ismej/index.html
0092-8674	CELL	CELL	31.398	是	1区	生物	生化与分子生物学		https://www.cell.com/cell/newarticles
1535-6108	CANCER CELL	CANCER CELL	22.844	是	1区	医学	细胞生物学		https://www.cell.com/cancer-cell/newarticles
